,thscode,ths_market_value_stock,ths_pb_latest_stock,ths_pe_ttm_stock,ths_ps_ttm_stock,ths_sq_np_yoy_stock,ths_revenue_yoy_sq_stock,ths_op_yoy_sq_stock,ths_the_citic_industry_stock
0,836260.BJ,607838500.0,1.6401775328884,17.358518624866,3.013102973755,-61.0529,-50.4508,-78.4689,
1,836263.BJ,778177600.0,1.6488964104169,18.805331229298,1.2933906830166,166.4082,-13.6691,175.1381,
2,836270.BJ,666927000.0,1.8610150609264,14.708932789422,4.0003572252956,76.3779,-17.3985,53.9535,
3,836395.BJ,670677000.0,3.866506122405,17.366193250809,6.1404387489422,-42.4707,-41.0954,-45.2746,
4,836433.BJ,903219440.26,1.8433790194784,16.889067823764,4.0211922521868,-4.5651,45.5402,30.7744,
5,836675.BJ,847214160.0,1.6039184968659,14.00580963474,2.2463182302806,32.6079,78.5203,35.4455,
6,836720.BJ,996221760.0,2.4490069433283,15.854259836902,2.4374119515007,63.8042,12.1664,51.8901,
7,836826.BJ,816468654.48,2.6836621776146,19.992033547768,2.1166575220833,-18.5746,-7.7976,-18.3569,
8,836871.BJ,429152925.12,1.87001596407,22.033889229672,2.8304579477431,-49.1578,-7.3111,-49.0782,
9,836892.BJ,917276523.24,2.6209720776343,12.254546930852,1.8887270717955,36.1362,19.3132,0.716,
10,837092.BJ,671980880.0,1.7542535682642,22.175954114185,2.6157369387658,-198.1393,-39.267,-177.4519,
11,837212.BJ,777713000.0,2.0221848047068,18.445447306226,1.8042734203375,-21.1147,-5.1708,-24.0364,
12,837242.BJ,525541920.0,1.1553396554968,10.737489834433,1.1406509282615,93.456,-10.4926,97.248,
13,837344.BJ,1800351800.0,3.2706054961366,62.843729457705,9.7015535660967,-86.111,-13.7527,-85.5604,
14,837821.BJ,693927282.98,1.4505359793539,26.886508528311,2.0455040156905,-34.5506,-14.9942,-31.7575,
15,838030.BJ,602689724.97,1.2587494165402,16.90582510693,0.22012087101945,-44.4852,2.8254,-36.426,
16,838163.BJ,698040000.0,1.6983142758473,17.378997856038,1.8144467074059,-31.5074,-13.0412,-32.0376,
17,838171.BJ,1129835000.0,2.6656777980027,17.184097889669,3.525184947006,198.5766,60.5125,211.7756,
18,838275.BJ,540135512.0,2.2250644078471,22.574802670484,3.7081032295621,-17.8953,9.7755,-40.9228,
19,838402.BJ,5382341544.8,4.3605700981464,35.379315981504,5.7988431295245,138.3836,41.4388,158.9031,
20,838670.BJ,1163120000.0,2.6606216821721,17.254520438247,6.6700203486773,64.1148,43.783,65.956,
21,838924.BJ,486380000.0,1.9117952960325,17.557196284055,1.4095578747596,87.9765,11.4711,133.5412,
22,838971.BJ,1175584027.2,2.7105935199065,23.003685298573,5.5340263144372,-29.4264,-21.4086,-25.7285,
23,839167.BJ,1260459600.0,2.8313549536442,25.515720804835,1.111716038926,-7.7136,16.882,-18.118,
24,839680.BJ,671338998.0,1.1240374107012,11.472785475762,2.3197642990951,28.4357,16.6866,25.7728,
25,839725.BJ,1799850000.0,3.0683477908788,23.431954847853,4.6630020245375,56.3358,138.7984,69.2233,
26,839729.BJ,2205934500.0,3.2448203197343,28.629324409421,6.6498799540446,52.6104,0.8679,41.0601,
27,839790.BJ,563824522.8,1.7453471316761,24.523159169842,2.4644068086336,-64.904,-21.6595,-65.7859,
28,839946.BJ,436019130.89,1.5162824206112,-45.394578069617,2.3195383309443,-1158.0914,3.4394,-991.8979,
29,870204.BJ,487878914.53,1.1477081217158,19.283990653446,1.6857962154278,-49.8047,-17.5792,-51.8455,
30,870299.BJ,430722339.28,1.6399493368731,16.564701848593,4.373960711472,-4.7176,15.8779,-8.9894,
31,870436.BJ,745415640.0,1.6628553394254,507.32865582588,1.3342025550406,-227.1957,-12.624,-310.7797,
32,871245.BJ,583537500.0,1.9053752807728,14.505844117511,1.7587156257021,-33.2091,8.7906,-24.9915,
33,871396.BJ,429466752.4,1.6874112356366,21.104014703581,2.2558035818592,-49.0328,-25.3083,-52.2866,
34,871553.BJ,488547564.0,1.4727693509296,19.742781204878,1.2610185570706,-8.5272,-4.5821,-12.639,
35,871642.BJ,708067998.74,2.801136715545,29.695738132047,4.1322755470872,542.8839,231.6397,546.9218,
36,871857.BJ,653483152.16,1.8054496164036,16.204050701826,1.3705527029102,9.4464,-35.3722,15.8937,
37,871970.BJ,498044000.0,1.4032505828719,15.574760019695,3.0406727052606,15.6916,8.9513,-15.6268,
38,871981.BJ,1109550680.0,2.1355244306702,19.413723895023,2.513336543414,-76.0407,-37.5553,-80.1498,
39,872925.BJ,736661250.0,2.0703440620659,20.321285628773,3.7782490799651,56.1089,27.8291,87.5846,
40,873122.BJ,1220265621.12,3.6086714869523,32.457813997236,6.4321743094109,25.7492,6.1922,8.2498,
41,873169.BJ,530856591.3,1.7226993165337,11.419101089573,2.4992059598442,22.1508,-11.4625,24.9947,
42,873223.BJ,603974400.0,1.8248759140289,27.3664403786,2.2250811416446,-38.1869,-13.1083,-39.9409,
0,000001.SZ,229766071464.32,0.64642716482197,5.2386245203903,1.2732384901989,26.134,8.7815,27.1958,银行
1,000002.SZ,198040294014.91,0.86009775622027,9.0613755337796,0.39957889667768,8.4336,25.2763,20.6563,房地产
2,000004.SZ,1121237187.52,1.258546383158,-1.8699454725856,5.4177219907485,-178.286,-15.8981,-188.633,医药
3,000005.SZ,1778341894.56,1.2856007317749,-39.39191321986,6.6888599429507,708.711,-33.8293,334.7812,电力及公用事业
4,000006.SZ,5575479539.98,0.72566080216916,30.846266749011,2.4505527843268,-113.546,-83.7541,-115.3891,房地产
5,000007.SZ,2792371234.64,30.22666265578,83.731410855529,11.424880946679,435.599,2.4791,829.6529,房地产
6,000008.SZ,6117749761.2,1.2156747214225,-4.1590439632172,2.8869529828964,-264.1982,-28.8928,-228.9081,机械
7,000009.SZ,28938780687.3,3.3645671591486,40.272963815294,1.0369827622739,31.1848,116.3262,23.4086,综合
8,000010.SZ,3334880719.8,2.6919264242052,-2779.3263228743,2.6472069896608,-172.4567,-74.7339,-134.6286,建筑
9,000011.SZ,5196944136.0724,1.2662533616268,7.9946066106206,1.3104077378294,117.0455,54.4594,137.339,房地产
10,000012.SZ,16631688781.585,1.7083274481473,12.760637313062,1.5022309653379,286.228,17.9657,204.8735,建材
11,000014.SZ,1999301810.24,1.8126055411292,7.9464243649706,2.0230616676252,1539.8312,32.4896,-24.9808,房地产
12,000016.SZ,9132577497.7122,1.251956159471,9.9220410465185,0.27527038904177,79.6355,-21.5557,69.5717,家电
13,000017.SZ,1411025061.0825,204.6393142962,-763.23459622507,8.9678695959436,445.1773,45.9736,571.8622,机械
14,000019.SZ,7741434287.6235,1.7013971144017,17.614672580084,0.88594904559072,51.6572,-11.5696,60.4628,农林牧渔
15,000020.SZ,1722969712.6358,6.5163816320495,301.2497163839,3.3743320559136,-125.1002,-22.8424,-118.997,电子
16,000021.SZ,16386169674.0,1.5906567946979,19.650231847506,1.009459909789,-53.1097,3.4259,-52.3121,电子
17,000023.SZ,1393112649.6,4.3987544206908,-10.303481365112,2.1415794995421,-133.6623,-75.4542,-200.8662,建材
18,000025.SZ,6883757118.48,4.9836006735557,60.063470127353,9.3096422768897,-29.8802,208.8586,-34.6336,综合
19,000026.SZ,3592547226.8946,1.2261545758286,13.771337416645,0.83355337164002,-18.275,-8.0637,-19.7049,商贸零售
20,000027.SZ,26688957428.76,0.94657707878616,28.189812518272,0.72278328349108,-9.9455,35.9579,-0.1479,电力及公用事业
21,000028.SZ,11951924295.686,0.81370996973132,9.7625704446613,0.17574700031368,17.0051,8.4527,16.6493,医药
22,000029.SZ,7387162200.0,2.0271607469876,44.089513482789,9.134436781931,-171.7743,-41.1283,-141.5872,房地产
23,000030.SZ,7687443598.1117,1.0728036387718,15.939185332135,0.6115696604161,67.6895,38.3594,51.9119,汽车
24,000031.SZ,14359149685.65,0.78105488946969,-15.633526955425,0.31667358293749,-88.2941,25.0784,-71.085,房地产
25,000032.SZ,13803445508.42,2.5862261025434,-83.677295554219,0.27970017157231,-113.0904,8.1692,-74.6209,通信
26,000034.SZ,10647377647.96,1.5136597294079,12.236597701043,0.088087065287824,63.2776,-8.4792,50.3391,计算机
27,000035.SZ,11836515522.93,1.1466882876527,37.535740598996,1.6568163880416,-95.894,-76.7326,-91.7004,电力及公用事业
28,000036.SZ,6499631029.5,1.3152833941678,20.370566083249,4.1709541329986,7.7557,-11.2939,15.2208,房地产
29,000037.SZ,2965328684.9104,2.840452342639,-7.7759510956775,6.0270151542335,-20.1663,39.6393,-20.5721,电力及公用事业
30,000038.SZ,2064970805.05,0.87002121767998,-12.690534440417,0.9932212878671,113.4968,43.5641,151.8525,传媒
31,000039.SZ,29884400934.669,0.81853711554706,37.878408169222,0.2410446675578,-80.4049,-17.868,-64.6393,机械
32,000040.SZ,6081314128.3,0.53259933245737,-10.511432867329,1.6017136874172,-46.8521,-8.3322,-11.2983,电力及公用事业
33,000042.SZ,5458263651.19,0.6564960438024,33.570122888106,0.62490514367457,-77.9496,-32.2876,765.375,房地产
34,000045.SZ,3681900554.2616,1.3693656751306,107.77896268805,1.4216225344626,3613.3293,18.5981,648.6191,电子
35,000046.SZ,6183478780.64,1.5421758059478,-0.5283515322364,0.63757143940175,83.6127,73.4135,129.9521,房地产
36,000048.SZ,8261947757.5,4.5832504389136,-244.88034826149,3.2694833006246,232.7336,255.0268,277.3175,农林牧渔
37,000049.SZ,12488308404.18,3.2676228096543,13.751391259753,0.5584927782541,33.161,22.209,28.1578,电子
38,000050.SZ,20915432595.11,0.69082753272755,14.975992726791,0.68150879225678,61.8659,-0.1234,122.8615,电子
39,000055.SZ,4022962349.6151,0.90153241444852,19.759569785728,1.3718698218591,43.5683,15.1326,52.7577,建材
40,000056.SZ,4273997801.3245,1.6455026908801,-3.263747184648,7.1335730144773,-5672.8887,-13.5131,-15031.2991,房地产
41,000058.SZ,5732148996.8174,3.443097100732,549.72496884929,3.5312377928991,224.3509,1.56,49.8126,房地产
42,000059.SZ,11388030863.44,0.78887147919155,12.271683493491,0.23140339355348,121.1548,83.2383,125.5767,石油石化
43,000060.SZ,15398678808.0,1.073839369996,12.546896372809,0.25940384426095,-39.3314,-7.4493,-48.7565,有色金属
44,000061.SZ,8807243839.89,1.553011538181,41.872788156564,2.2783548613943,-84.1808,-4.1571,-68.4213,农林牧渔
45,000062.SZ,12477698211.46,1.828050900698,14.313503416509,0.49691545978948,-36.0837,-15.0022,-35.8604,房地产
46,000063.SZ,94806011946.462,1.768470872926,13.027311309565,0.82229855873108,30.7199,6.4593,6.063,通信
47,000065.SZ,8825046396.37,1.1571901879312,14.002173122845,0.60900110755819,-23.0399,13.3981,-2.9487,建筑
48,000066.SZ,27548324202.98,2.0803254001106,780.78068426338,1.7875183502084,-170.612,-33.995,-155.0652,计算机
49,000068.SZ,3704550987.52,16.589169794059,-39.856399702082,3.0531674702963,-5366.0297,-9.7342,-251.0985,电力及公用事业
50,000069.SZ,39450628731.15,0.51309546787673,77.985909378843,0.47865166643425,-95.6708,-51.2467,-90.9072,房地产
51,000070.SZ,4670549221.38,2.6181007141369,-8.9459043875627,1.0535206092473,93.057,29.3467,79.9212,通信
52,000078.SZ,8885191420.11,1.494969968367,771.87104969599,0.22646831878288,-57.4953,2.82,-40.457,医药
53,000088.SZ,11470724909.7,1.2263556650193,23.435055130591,14.68198437004,19.4301,21.7416,20.2965,交通运输
54,000089.SZ,13781171100.48,1.2599530431207,-14.719609574505,4.6062439462324,-258.3662,-6.7912,-253.268,交通运输
55,000090.SZ,9940661708.88,0.98738329272971,5.0967965582495,0.40638768384157,25.6748,17.1518,27.8696,建筑
56,000096.SZ,4065600000.0,1.5728726136345,130.75274842898,1.9718222493383,-52.1729,48.5683,-47.6523,石油石化
57,000099.SZ,5368329348.04,1.1105943589982,26.101145325614,2.9653932329202,-53.5819,15.1291,-52.032,交通运输
58,000100.SZ,50931231988.23,1.3167377469588,41.492230049099,0.30116659741264,-99.3454,-9.9525,-104.3276,电子
59,000150.SZ,1211222628.66,-1.7160619701459,-1.6117738524354,1.1485659109238,-98.4688,-23.6111,-145.7016,医药
