,thscode,ths_market_value_stock,ths_pb_latest_stock,ths_pe_ttm_stock,ths_ps_ttm_stock,ths_sq_np_yoy_stock,ths_revenue_yoy_sq_stock,ths_op_yoy_sq_stock,ths_the_citic_industry_stock
0,603727.SH,3823587850.0,1.6367932975861,45.282922749325,4.5581433548362,142.5139,984.2813,129.154,石油石化
1,603728.SH,5104320000.0,2.6760410897363,31.215617761244,2.582006265088,-7.3501,4.5777,-16.9005,电力设备及新能源
2,603729.SH,1544743900.0,1.8648142978327,-46.161203485811,1.6424881307288,-970.5478,-23.4306,-537.2941,传媒
3,603730.SH,9389935548.8,2.7472649584077,16.617446940135,1.871568023309,-2.9271,41.3537,-7.6165,汽车
4,603733.SH,9284040000.0,2.8136297749463,37.345001120084,2.1506414341815,22.3476,-0.5211,26.5538,轻工制造
5,603737.SH,8115006142.74,5.8354679433192,28.843668087998,1.8192145643017,85.3898,67.7651,75.9319,基础化工
6,603738.SH,4206420261.18,6.4791429839011,306.83724816405,7.8016107156388,-64.658,-34.2071,-59.2102,电子
7,603739.SH,4151262280.0,4.48060438568,51.21764242046,5.0408434763133,-10.008,7.7083,-3.7613,农林牧渔
8,603757.SH,2389808400.0,2.3224425768313,15.476880358472,2.2173217430154,-5.5918,-2.3442,-6.0811,机械
9,603758.SH,2707377792.33,1.1866479372349,-23.91997232871,5.2466389570226,-157.2144,-39.6039,-266.2182,汽车
10,603766.SH,8604340351.5,1.2696240131084,9.747723531202,0.78709688111443,-22.6557,-6.0432,-18.1165,汽车
11,603767.SH,2266738320.0,1.6120015877475,36.702189920959,2.5501078385406,45.197,-4.4735,47.7796,汽车
12,603768.SH,2376600000.0,1.37819299545,32.095971422004,1.2719447173512,32.3745,-5.2397,30.5768,汽车
13,603773.SH,2958948991.68,1.8438631871031,37.573695544899,4.9668200266673,-54.2637,-18.1588,-51.0608,电子
14,603776.SH,3427086600.0,1.4389023301625,28.858693547728,4.1214489511604,-3.5825,-5.4218,1.6018,汽车
15,603777.SH,4854734719.8,2.6016029190124,276.30636505666,1.2333954002107,-283.4698,5.7284,4.7817,食品饮料
16,603778.SH,2070000000.0,2.0373683627912,-372.92291462303,5.958450969245,28.8466,5.5528,25.1189,房地产
17,603779.SH,3203571744.0,2.287021904214,74.004739563958,4.2739393513098,-46.8173,-16.6136,-13.934,食品饮料
18,603787.SH,3009000000.0,3.1925095191085,33.709620076248,0.99805583906867,0.6284,-8.3923,-1.669,汽车
19,603788.SH,3124679222.42,1.7162471136368,21.176407223651,3.1616469863584,-39.232,-39.1966,-32.8429,汽车
20,603789.SH,4035200000.0,3.8913479018682,-100.03501356865,6.0288175245553,-96.7437,-35.7262,3.4626,机械
21,603790.SH,3243552000.0,2.9832399722553,24.125419953577,3.3279204766918,-16.1986,-14.4032,-11.5079,基础化工
22,603797.SH,4047059800.0,3.5878113682065,35.411583743582,11.136045256364,140.9525,108.8768,137.5644,电力及公用事业
23,603798.SH,2324000000.0,2.5154014476989,27.571355546368,2.6763294402092,70.3704,13.5421,51.7965,石油石化
24,603799.SH,22986489047.01,3.0342708432203,431.13407108984,1.3705712331598,-94.7003,40.2841,-91.8922,有色金属
25,603800.SH,2751840000.0,2.8405793129224,20.624372641887,2.0911504818035,112.4585,37.3345,117.0282,石油石化
26,603801.SH,4413067193.6,2.5655527966838,15.312427025408,1.7376042639017,21.362,13.3039,26.8527,轻工制造
27,603803.SH,5456880018.72,2.1982898473135,40.556583772641,2.1012955840685,65.6516,-14.62,-5.6582,通信
28,603806.SH,19195098000.0,3.3439895857611,20.757091649154,3.4279925974895,47.7293,20.7828,49.1612,电力设备及新能源
29,603808.SH,5077612634.97,2.1151275280811,12.890422173624,1.9373200446752,36.6076,27.046,52.3927,纺织服装
30,603809.SH,2168089084.0,1.4190700861228,15.405402030321,2.3578598028877,-40.9465,-5.2092,-44.448,汽车
31,603810.SH,3024000000.0,2.6339193596999,22.2151252733,2.5688778219328,-46.1251,-38.8222,-48.6714,基础化工
32,603811.SH,2385600000.0,3.440244769374,19.851589194645,3.767501919864,62.032,50.0313,62.2659,医药
33,603813.SH,1641527500.0,2.6068604131549,26.660792929768,1.6849606257855,16.0141,18.0943,33.4709,交通运输
34,603816.SH,19219908842.4,4.0757450055366,18.037352636555,1.8967101642872,27.1293,16.1036,34.7086,轻工制造
35,603817.SH,3487500000.0,2.2339240896413,26.973692139703,5.8836067778484,17.4128,57.1125,14.7061,电力及公用事业
36,603818.SH,3734260000.0,2.4156473653272,-64.53674980708,0.95030894735836,61.7126,73.8023,-134.2481,轻工制造
37,603819.SH,2240077238.0,3.099975245885,48.092436058669,2.0901308929797,-28.2672,29.1888,-24.6687,机械
38,603822.SH,1765654344.53,2.4395427789056,31.053975867902,1.6461343369632,34.8927,8.7827,42.6157,基础化工
39,603823.SH,4144500000.0,2.8120443205263,19.249743373239,2.1501318090839,51.8477,8.2606,51.6106,基础化工
40,603825.SH,3161099980.8,2.0921658517857,21.868532907339,0.28544115847904,71.6893,6.9389,46.0851,传媒
41,603826.SH,6874920000.0,5.1450398686839,39.897094274084,11.575293586367,-10.386,-6.1053,-11.2312,建材
42,603828.SH,4792727850.3,4.4462163788776,117.27383747501,1.9372207983046,-191.4883,27.1367,-192.8734,建筑
43,603829.SH,1752000000.0,2.6942414319164,33.013523504876,3.0854076408034,-60.1751,6.0917,-55.3896,电力设备及新能源
44,603833.SH,45221014718.62,5.7323228611798,27.331121331706,3.7145562460715,13.4762,12.514,12.6374,轻工制造
45,603838.SH,2549460800.0,3.4846470290807,77.006098573547,5.9471942520952,1.6747,-9.6397,-16.0287,建材
46,603839.SH,4971837267.6,1.8243670531184,15.988723931329,2.4594502260915,41.5363,58.2005,37.0552,纺织服装
47,603843.SH,3180023850.0,2.3251447415085,46.869758018905,1.0346328353028,48.3811,75.1868,59.6206,建筑
48,603848.SH,5858610000.0,4.5115877479156,22.374881739861,4.4508776874388,-1.9174,1.7458,8.4032,轻工制造
49,603855.SH,2906794600.0,1.9952233889109,16.356012159945,1.6728356445019,39.3274,9.5731,62.9476,机械
50,603856.SH,2615428920.0,1.6338408128007,15.285689081455,1.5030656842568,31.0765,13.3679,28.3907,机械
51,603858.SH,22840981800.0,1.8285607378608,11.499376713432,1.5948733957585,1.9987,6.1624,21.053,医药
52,603859.SH,2518892885.25,2.6590579051599,35.88382307597,4.6431026000069,164.2391,115.0491,368.1501,电力设备及新能源
53,603860.SH,1850370000.0,3.1101585947179,38.263907967574,8.9536536508342,-5.2763,-21.0282,3.2335,建筑
54,603861.SH,4427406480.0,1.973812666069,70.959415265155,1.821205711988,-224.6439,-36.2042,-204.1534,电力设备及新能源
55,603863.SH,4752033520.0,4.4410420876188,51.292315158166,7.8004957048339,-8.4087,-9.5794,-21.0575,
56,603866.SH,27442202060.0,8.4321629824455,40.183080839423,5.2526277469353,17.8853,20.1905,17.0539,食品饮料
