,thscode,ths_market_value_stock,ths_pb_latest_stock,ths_pe_ttm_stock,ths_ps_ttm_stock,ths_sq_np_yoy_stock,ths_revenue_yoy_sq_stock,ths_op_yoy_sq_stock,ths_the_citic_industry_stock
0,688221.SH,7598131200.0,3.6868241844497,-34.188735977134,121.40160794788,7.4469,189.2383,10.7072,医药
1,688222.SH,11820060000.0,9.2228048380239,170.68481497164,38.012915626003,122.3607,99.1058,244.0596,医药
2,688228.SH,2585980108.8,2.2288772588088,39.716562576798,8.4228488898003,-22.1053,6.7598,-20.2191,计算机
3,688229.SH,3362412000.0,4.2309498019065,-91.16806787023,26.233937016872,-300.3027,-28.2214,-274.1493,计算机
4,688233.SH,8640000000.0,6.6676776434113,47.760814364379,24.595699381516,250.8619,333.479,266.9736,电子
5,688256.SH,55293820000.0,9.0401537572494,-88.575992453438,108.50518807276,-98.9377,34.4879,-98.91,电子
6,688258.SH,4506090545.62,4.9277870583529,73.120291779386,20.50730013137,-27.8873,11.1582,-30.683,计算机
7,688260.SH,2572800000.0,5.1331654899336,117.10871783177,4.8983436497503,-147.7338,-33.9006,-159.5501,电子
8,688266.SH,16970400000.0,11.68799353231,-46.167353664415,242.1906025948,-47.4239,,-46.6507,医药
9,688268.SH,9021600000.0,6.9102856824919,69.66006929894,7.3648440615713,44.8865,52.0086,41.2851,基础化工
10,688269.SH,13025587200.0,15.926849299484,100.3511820942,10.457337968701,43.2236,8.8944,42.6942,基础化工
11,688276.SH,43174880196.84,13.027430238488,114.59046266053,30.328345037013,-36.1748,-16.4213,-39.1195,医药
12,688277.SH,15101891122.56,15.58784261119,-255.48354791073,91.77756104457,29.7568,106.1857,27.7964,医药
13,688278.SH,14685480000.0,13.95740446772,103.37342394155,16.251916385945,56.22,47.5273,84.3721,医药
14,688286.SH,7415016000.0,6.8804665118598,213.01172619783,19.332561964802,-45.2178,31.2056,-89.6276,电子
15,688288.SH,4775367152.8,5.1256290855795,51.464252911869,9.3859400550621,-24.2194,-12.1371,-29.5957,计算机
16,688289.SH,39780000000.0,6.9527777437812,15.875801181465,8.4795687059951,-51.9803,-49.1017,-52.0969,医药
17,688298.SH,26112000000.0,4.8950783744351,5.7418519883869,2.9608168801494,362.5923,477.6264,374.0773,医药
18,688299.SH,7623700207.46,4.1562420570426,39.785417580573,6.2099895086856,15.9368,32.2959,3.8549,电子
19,688300.SH,5330350800.0,5.3302028660827,36.190089980563,10.20231530319,70.268,48.714,69.9479,基础化工
20,688301.SH,20313391280.0,7.3366792371416,62.993540785883,21.276511466928,72.7084,32.9385,69.9117,医药
21,688308.SH,6777000000.0,4.913053952332,41.400471308683,7.6186478094212,85.3686,47.5213,83.6455,机械
22,688309.SH,2217897518.76,3.0819839266409,73.529761150413,16.675288900581,-62.9581,-69.846,-87.5822,机械
23,688310.SH,2541440000.0,3.5342784562288,61.696893557088,9.1471132636934,-60.7777,-10.5941,-59.0244,机械
24,688311.SH,8370910000.0,4.9464437302204,68.610035341132,17.663174490467,21.0304,44.1032,25.8926,通信
25,688312.SH,4044664440.24,3.3227610598129,35.09507103263,9.7939847825745,15.8037,53.8191,1.0084,机械
26,688313.SH,8318086206.64,7.1911091453886,385.98687595114,11.797086605886,-66.5831,-4.2993,-66.32,通信
27,688314.SH,6130075807.2,13.416764289661,96.265156112828,32.207208539629,30.2488,23.8536,29.5075,医药
28,688315.SH,19529760000.0,11.87308752342,100.96236756835,11.44354955461,451.7956,20.3899,480.8498,医药
29,688316.SH,3393545512.5,4.6459488142404,-14.573537055056,7.2403182612478,-137.6938,16.3694,-140.3059,计算机
30,688317.SH,12646047532.5,3.671962723053,14.193387785278,5.908164336708,-78.5799,-58.2811,-79.4831,医药
31,688318.SH,12467290000.0,4.2452880013618,43.201904302908,40.216122751831,38.4987,15.8753,29.2901,计算机
